date,sjc_buy,sjc_sell,doji_buy,doji_sell
2026-01-21,168500.0,170500.0,,
2026-01-22,167300.0,169300.0,,
2026-01-23,170200.0,172200.0,,
2026-01-24,172300.0,174300.0,,
2026-01-26,175000.0,177000.0,,
2026-01-27,175300.0,177300.0,,
2026-01-28,181700.0,184200.0,,
2026-01-29,186600.0,189600.0,,
2026-01-30,178000.0,181000.0,,
2026-01-31,169000.0,172000.0,,
2026-02-02,163000.0,166000.0,,
2026-02-03,173500.0,176500.0,,
2026-02-04,177200.0,180200.0,,
2026-02-05,174200.0,177200.0,,
2026-02-06,173500.0,176500.0,,
2026-02-07,176300.0,179300.0,,
2026-02-09,177400.0,180400.0,,
2026-02-10,178000.0,181000.0,,
2026-02-13,176000.0,179000.0,,
2026-02-14,178000.0,181000.0,,
2026-02-23,181600.0,184600.0,,
2026-02-25,182300.0,185300.0,,
2026-02-26,181000.0,184000.0,,
2026-02-27,181000.0,184000.0,,
2026-02-28,184000.0,187000.0,,
2026-03-02,187900.0,190900.0,,
2026-03-03,185200.0,188200.0,,
2026-03-04,181200.0,184200.0,,
2026-03-05,181700.0,184700.0,,
2026-03-06,180800.0,183800.0,,
2026-03-07,182000.0,185000.0,,
2026-03-09,181100.0,184100.0,,
2026-03-10,183100.0,186100.0,,
2026-03-11,184200.0,187200.0,,
2026-03-12,183300.0,186300.0,,
2026-03-13,181800.0,184800.0,,
2026-03-14,179600.0,182600.0,,
2026-03-16,180100.0,183100.0,,
2026-03-17,180000.0,183000.0,,
2026-03-19,172500.0,175500.0,,
2026-03-20,173100.0,176100.0,,
2026-03-21,168000.0,171000.0,,
2026-03-23,163000.0,166000.0,,
2026-03-24,167200.0,170200.0,,
2026-03-25,170500.0,173500.0,,
2026-03-26,168500.0,171500.0,,
2026-03-27,168600.0,171600.0,,
2026-03-28,169800.0,172800.0,,
2026-03-30,170800.0,173800.0,,
2026-03-31,171900.0,174900.0,,
2026-04-01,173700.0,176700.0,,
2026-04-02,170000.0,173500.0,,
2026-04-03,171000.0,174500.0,,
2026-04-04,171500.0,174500.0,,
2026-04-06,170100.0,173100.0,,
2026-04-07,169500.0,172500.0,,
2026-04-08,171000.0,175000.0,,
2026-04-09,168500.0,171500.0,,
2026-04-10,169700.0,172700.0,,
2026-04-11,169400.0,172400.0,,
2026-04-13,168500.0,171500.0,,
2026-04-14,170500.0,173000.0,,
2026-04-15,170000.0,173500.0,,
2026-04-16,167700.0,171200.0,,
2026-04-17,167500.0,171000.0,,
2026-04-18,168500.0,172000.0,,
2026-04-20,168300.0,171300.0,,
2026-04-21,168100.0,170600.0,,
2026-04-22,167500.0,170000.0,,
2026-04-23,166700.0,169200.0,,
2026-04-24,165500.0,168000.0,,
2026-04-25,166300.0,168800.0,,
2026-04-28,164500.0,167500.0,,
2026-04-29,163000.0,166000.0,,
2026-05-04,163300.0,166300.0,,
2026-05-05,162000.0,165000.0,,
2026-05-06,163000.0,166000.0,,
2026-05-07,164500.0,167500.0,,
2026-05-11,162200.0,165200.0,,
2026-05-12,162500.0,165500.0,,
2026-05-13,162000.0,165000.0,,
2026-05-15,161000.0,164000.0,,
2026-05-16,160500.0,163500.0,,
2026-05-19,161000.0,163500.0,,
2026-05-20,159000.0,162000.0,,
2026-05-21,159400.0,162400.0,,
2026-05-23,158500.0,161500.0,,
2026-05-25,159000.0,162000.0,,
2026-05-26,158500.0,161500.0,,
2026-05-27,157700.0,160700.0,,
2026-05-28,154500.0,157500.0,,
2026-05-29,155500.0,158500.0,,
2026-05-30,156000.0,159000.0,,
2026-06-01,155500.0,158500.0,,
2026-06-02,154500.0,157500.0,,
2026-06-03,154000.0,157000.0,,
2026-06-04,153000.0,156000.0,,
2026-06-05,149200.0,153200.0,,
